# L=4,N=4,U=100.0000,mu=1.0000,t=1.0000,eta=0.2143,beta=2.0000,M=2000000
# H_0/t              H_1/t                E/t                  N             
1.7763568394002505e-15 -0.0                 1.7763568394002505e-15 4.0                 
1.7763568394002505e-15 -0.0                 1.7763568394002505e-15 4.0                 
-4.884981308350689e-15 -0.0                 -4.884981308350689e-15 4.0                 
-3.552713678800501e-15 -0.0                 -3.552713678800501e-15 4.0                 
-2.6645352591003757e-15 -0.0                 -2.6645352591003757e-15 4.0                 
-3.552713678800501e-15 -0.0                 -3.552713678800501e-15 4.0                 
-1.199040866595169e-14 -0.0                 -1.199040866595169e-14 4.0                 
-1.2434497875801753e-14 -0.0                 -1.2434497875801753e-14 4.0                 
-1.3322676295501878e-14 -0.0                 -1.3322676295501878e-14 4.0                 
-1.3766765505351941e-14 -0.0                 -1.3766765505351941e-14 4.0                 
-2.1316282072803006e-14 -0.0                 -2.1316282072803006e-14 4.0                 
-2.1316282072803006e-14 -0.0                 -2.1316282072803006e-14 4.0                 
-1.6431300764452317e-14 -0.0                 -1.6431300764452317e-14 4.0                 
-1.6431300764452317e-14 -0.0                 -1.6431300764452317e-14 4.0                 
-1.687538997430238e-14 -0.0                 -1.687538997430238e-14 4.0                 
-1.9539925233402755e-14 -0.0                 -1.9539925233402755e-14 4.0                 
-1.9095836023552692e-14 -0.0                 -1.9095836023552692e-14 4.0                 
-1.7763568394002505e-14 -0.0                 -1.7763568394002505e-14 4.0                 
-2.2648549702353193e-14 -0.0                 -2.2648549702353193e-14 4.0                 
-2.4868995751603507e-14 -0.0                 -2.4868995751603507e-14 4.0                 
-2.398081733190338e-14 -0.0                 -2.398081733190338e-14 4.0                 
-1.865174681370263e-14 -0.0                 -1.865174681370263e-14 4.0                 
-2.1316282072803006e-14 -0.0                 -2.1316282072803006e-14 4.0                 
-9.769962616701378e-15 -0.0                 -9.769962616701378e-15 4.0                 
-9.769962616701378e-15 -0.0                 -9.769962616701378e-15 4.0                 
-9.325873406851315e-15 -0.0                 -9.325873406851315e-15 4.0                 
-8.881784197001252e-15 -0.0                 -8.881784197001252e-15 4.0                 
-1.5987211554602254e-14 -0.0                 -1.5987211554602254e-14 4.0                 
-1.4654943925052066e-14 -0.0                 -1.4654943925052066e-14 4.0                 
-2.220446049250313e-14 -0.0                 -2.220446049250313e-14 4.0                 
-2.0872192862952943e-14 -0.0                 -2.0872192862952943e-14 4.0                 
-2.842170943040401e-14 -0.0                 -2.842170943040401e-14 4.0                 
-2.842170943040401e-14 -0.0                 -2.842170943040401e-14 4.0                 
-2.4424906541753444e-14 -0.0                 -2.4424906541753444e-14 4.0                 
-2.398081733190338e-14 -0.0                 -2.398081733190338e-14 4.0                 
-2.9753977059954195e-14 -0.0                 -2.9753977059954195e-14 4.0                 
-3.2862601528904634e-14 -0.0                 -3.2862601528904634e-14 4.0                 
-3.2862601528904634e-14 -0.0                 -3.2862601528904634e-14 4.0                 
-2.930988785010413e-14 -5.0                 -5.000000000000029   4.0                 
-2.886579864025407e-14 -0.0                 -2.886579864025407e-14 4.0                 
-2.6201263381153694e-14 -0.0                 -2.6201263381153694e-14 4.0                 
-2.4868995751603507e-14 -0.0                 -2.4868995751603507e-14 4.0                 
-2.930988785010413e-14 -0.0                 -2.930988785010413e-14 4.0                 
-2.842170943040401e-14 -0.0                 -2.842170943040401e-14 4.0                 
-3.108624468950438e-14 -0.0                 -3.108624468950438e-14 4.0                 
-4.1744385725905886e-14 -0.0                 -4.1744385725905886e-14 4.0                 
-3.907985046680551e-14 -0.0                 -3.907985046680551e-14 4.0                 
-4.75175454539567e-14 -0.0                 -4.75175454539567e-14 4.0                 
-4.973799150320701e-14 -0.0                 -4.973799150320701e-14 4.0                 
-5.1514348342607263e-14 -0.0                 -5.1514348342607263e-14 4.0                 
-5.10702591327572e-14 -0.0                 -5.10702591327572e-14 4.0                 
-5.551115123125783e-14 -0.0                 -5.551115123125783e-14 4.0                 
-5.684341886080802e-14 -0.0                 -5.684341886080802e-14 4.0                 
-5.5067062021407764e-14 -0.0                 -5.5067062021407764e-14 4.0                 
-5.417888360170764e-14 -0.0                 -5.417888360170764e-14 4.0                 
-5.773159728050814e-14 -0.0                 -5.773159728050814e-14 4.0                 
-5.728750807065808e-14 -0.0                 -5.728750807065808e-14 4.0                 
-5.639932965095795e-14 -0.0                 -5.639932965095795e-14 4.0                 
-5.861977570020827e-14 -5.0                 -5.000000000000059   4.0                 
-5.950795411990839e-14 -0.0                 -5.950795411990839e-14 4.0                 
-5.551115123125783e-14 -0.0                 -5.551115123125783e-14 4.0                 
-5.684341886080802e-14 -0.0                 -5.684341886080802e-14 4.0                 
-5.417888360170764e-14 -0.0                 -5.417888360170764e-14 4.0                 
